 : 35
gem : 2
genoa : 1
geoffrey : 1
geophysics : 1
george : 6
gerald : 1
germany : 3
get : 1
ghost : 4
giant : 3
giants : 1
gibraltar : 3
gift : 1
gigantic : 1
gigantopithecus : 1
gimlin : 1
give : 1
given : 1
glacier : 1
gloria : 1
go : 6
goat : 1
going : 1
gold : 5
golden : 1
gone : 1
good : 6
got : 3
gratia : 4
graveyard : 1
great : 9
greater : 2
greek : 3
grounds : 1
group : 7
groups : 1
grover : 1
grow : 1
grown : 2
guide : 1
guillotine : 1
guinness : 2
h : 1
had : 27
hair : 6
hairs : 2
hairy : 2
half : 5
hand : 1
happened : 14
happenings : 1
harbour : 1
harry : 1
has : 19
hatteras : 1
have : 33
havent : 1
having : 1
hawkins : 1
he : 95
head : 1
hear : 1
heard : 3
height : 1
helicopter : 1
help : 2
henry : 2
her : 6
here : 2
heretic : 1
herself : 1
hes : 1
hidden : 4
hiding : 1
high : 4
highway : 1
hill : 2
hillary : 2
hills : 2
him : 21
himalayas : 2
himself : 1
hindu : 1
hippopotamus : 1
his : 78
hister : 2
historian : 1
historians : 4
history : 2
hit : 2
hitler : 4
hodgson : 1
holding : 1
hole : 5
holes : 1
holiness : 1
hollywood : 1
home : 3
hope : 10
horizon : 1
horizons : 1
hospital : 2
hours : 4
house : 1
how : 11
howard : 3
howardbury : 1
however : 4
howled : 1
httpenglishebooksnet : 1
huge : 5
human : 7
humans : 3
hundred : 2
hundreds : 4
hunger : 1
hunter : 1
hunters : 1
hurried : 1
hurt : 1
husband : 2
i : 6
ibrahim : 1
ideas : 1
idol : 1
if : 8
ii : 4
iii : 1
ill : 2
illness : 1
im : 1
image : 1
images : 1
immediately : 5
immense : 2
important : 2
importantly : 1
impossible : 2
impressed : 2
impressive : 1
in : 176
including : 1
incredible : 2
india : 2
indian : 1
infection : 1
influence : 1
influenced : 2
injured : 2
injury : 1
inside : 3
inspiration : 1
instantly : 3
instead : 2
institution : 2
instruments : 6
intelligent : 1
interest : 3
interested : 3
interesting : 1
interpreted : 3
interpreting : 1
into : 7
invented : 2
invention : 1
investigate : 1
investigated : 1
investigation : 1
investigations : 1
invisible : 1
invited : 1
involve : 1
involved : 2
io : 1
ireland : 1
iron : 1
irregular : 1
is : 49
island : 6
islands : 1
it : 83
italian : 2
italy : 5
its : 21
iv : 1
james : 8
january : 2
jean : 1
jewel : 7
jeweller : 5
jewels : 3
journal : 1
journalist : 1
journey : 3
judgement : 1
july : 1
june : 1
just : 8
k : 2
kappa : 2
kidnap : 1
kidnapped : 1
kill : 1
killed : 8
killing : 1
kilograms : 1
kilometres : 2
kind : 2
king : 23
kings : 5
knees : 1
knew : 4
know : 9
knowledge : 2
known : 1
knows : 3
komodo : 1
kow : 1
krantz : 1
kryptos : 1
kusche : 2
laboratory : 1
lamballe : 1
lambda : 2
land : 1
landed : 1
large : 6
larger : 2
largest : 1
last : 5
late : 1
later : 4
latin : 2
lauderdale : 2
laughed : 1
law : 1
lawrence : 1
lead : 1
leader : 1
learn : 1
leave : 1
led : 3
left : 8
leg : 1
legend : 6
legendary : 2
legends : 2
legs : 1
length : 1
lessons : 1
lets : 2
letters : 2
librarian : 1
lieutenant : 2
life : 2
lifeboat : 2
lights : 3
like : 4
liked : 1
line : 4
linz : 1
liquid : 1
listen : 1
little : 10
lived : 3
lives : 4
living : 2
local : 2
lockyer : 1
log : 3
logical : 4
london : 5
long : 8
look : 8
looked : 2
looks : 1
lord : 12
lorry : 2
losing : 1
lost : 7
lot : 3
loud : 1
louis : 3
loved : 1
luck : 9
lucky : 2
mace : 1
mad : 1
made : 5
magazine : 1
magically : 1
magician : 1
magnetic : 2
magnificent : 2
main : 1
major : 1
make : 4
makes : 1
man : 7
many : 21
march : 1
maria : 3
marie : 1
marine : 1
martin : 1
mary : 18
mask : 1
masks : 1
mathematics : 1
may : 1
mchenry : 1
mclean : 5
me : 1
meaning : 2
means : 2
measure : 1
measured : 1
mechanics : 1
medical : 2
medici : 1
medicine : 2
mediterranean : 1
meet : 2
meherz : 1
melbourne : 1
members : 2
men : 4
mental : 1
mentally : 1
merlin : 1
message : 1
messages : 1
met : 2
meteor : 1
method : 1
metokangmi : 2
metre : 1
metres : 7
michel : 1
microscope : 1
mid1500s : 1
middle : 1
miles : 1
million : 2
mineral : 1
minute : 1
modern : 2
mohammed : 1
money : 1
monk : 3
monmouth : 1
months : 1
montpellier : 1
monument : 4
monuments : 1
moon : 2
more : 17
morehouse : 3
morehouses : 1
moreton : 1
morning : 3
mosquito : 2
most : 10
mountain : 4
mountains : 6
moved : 1
movements : 1
mrs : 5
mt : 2
much : 7
mummy : 3
museum : 1
must : 6
mutiny : 1
mysteries : 4
mysterious : 10
mysteriously : 1
mystery : 21
myth : 1
name : 8
named : 3
names : 1
napoleon : 2
national : 2
native : 1
natural : 3
nature : 1
nautical : 1
naval : 3
navigated : 1
navigation : 3
navigator : 3
navy : 2
near : 7
neck : 1
needed : 1
neither : 1
nepal : 3
never : 5
new : 11
newspaper : 3
newspapers : 3
next : 3
night : 2
nile : 1
nine : 4
nineteenth : 2
nineyearold : 1
no : 22
noise : 1
noises : 1
nor : 1
norfolk : 2
norman : 1
north : 5
northern : 4
nostradame : 1
nostradamus : 14
not : 31
note : 1
nothing : 1
november : 6
now : 6
numbers : 1
o : 1
object : 1
objects : 3
observatory : 3
observes : 1
occasions : 4
occult : 1
occurred : 1
ocean : 6
oclock : 1
october : 1
odour : 1
of : 264
off : 1
officers : 1
officially : 1
often : 1
old : 2
older : 1
oldest : 1
oliver : 1
omen : 1
on : 75
once : 3
one : 38
only : 3
open : 1
opened : 4
opening : 1
or : 27
order : 2
ordered : 2
original : 1
originally : 1
origins : 1
other : 11
others : 6
our : 4
out : 5
over : 17
own : 2
owned : 1
owners : 3
pagan : 1
painted : 1
panda : 1
parents : 1
paris : 2
parked : 1
part : 14
parts : 7
passed : 3
past : 1
patrol : 1
patterson : 2
pattersons : 1
paul : 1
pay : 2
peccary : 1
people : 34
perfect : 8
perhaps : 7
permission : 1
person : 1
pet : 2
pharaoh : 5
pharaohs : 5
phase : 3
